Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.4710080390255786,0.45286117863478087,1.2401925075834863,0.5408388520971302
2,0.9025135858706549,0.691084685631693,0.7670122372525154,0.7284768211920529
3,0.4423978257767436,0.8559884370277906,0.6621875189041898,0.7947019867549668
4,0.18219708619462693,0.9449444845936535,0.641900373078647,0.833701250919794
5,0.08770512867503161,0.9745089021746272,0.6295939387467151,0.8609271523178808
6,0.05793249904021353,0.9831154326259772,0.7094541616114904,0.8557763061074319
7,0.046643957664297915,0.9867288614414296,0.7778979602029631,0.8520971302428256
8,0.04311354450761261,0.9871887523815781,0.789456889446532,0.8594554819720382
9,0.026573541675456523,0.9915248669601209,0.8896290108508533,0.8454746136865342
10,0.036696050749252286,0.988896918730701,0.828227369276316,0.8587196467991169
11,0.029846145559332304,0.9910649760199725,0.8540930372154522,0.8528329654157468
12,0.022182425612036663,0.9930359371920373,1.0041355712440492,0.8484179543782193
13,0.024522618311997504,0.9923789501346824,1.0200551296885492,0.8572479764532744
14,0.027674001568460643,0.9915248669601209,1.007764838653813,0.8454746136865342
15,0.018137507138012557,0.9947441035411603,1.4234276346228756,0.8138337012509198
16,0.02382935067273665,0.9925103475461533,1.0596540100410035,0.8513612950699043
17,0.02470894703558765,0.9942842126010117,1.134751322556403,0.8101545253863135
18,0.018376863675779554,0.9945470074239537,1.2391205191849393,0.8432671081677704
19,0.02280044080065465,0.9935615268379213,0.9455834728439351,0.8550404709345106
20,0.009061163729957945,0.9977662440049931,1.0332795239315846,0.8579838116261957
