Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.7626917321289849,0.7757369614512472,0.008232915926482955,0.9984732824427481
2,0.01231440738909466,0.9979591836734694,0.0015283792255666704,1.0
3,0.003950126494121022,0.999546485260771,0.0008518771664106166,1.0
4,0.0012756325971718472,1.0,0.0008046269515062281,1.0
5,0.0019914892803198636,0.999546485260771,0.0001535885616735278,1.0
6,0.0009498590043238564,1.0,2.7040363385669535e-05,1.0
7,0.002473949834374688,0.999092970521542,0.0017119400095921508,1.0
8,0.0011728799664584367,1.0,8.692623954255201e-05,1.0
9,0.00027886806432786903,1.0,5.639304737583917e-05,1.0
10,0.00876391107005656,0.9975056689342403,0.002614814223355493,1.0
11,0.0038263309239214517,0.9993197278911564,0.0009492281617457669,1.0
12,0.012342615955758179,0.9956916099773243,0.014935180332461898,0.9969465648854962
13,0.002798496499153544,0.9988662131519275,0.00031326888111341775,1.0
14,0.0021178510404205636,0.9993197278911564,0.00012599096213404545,1.0
15,0.00025343430286928756,1.0,0.0004201113203350381,1.0
